"Date","Price","Open","High","Low","Vol.","Change %"
"May 06, 2023","22.773","22.825","23.224","22.689","5.34M","-0.23%"
"May 05, 2023","22.825","21.740","23.043","21.656","4.96M","4.99%"
"May 04, 2023","21.740","22.220","22.472","21.616","3.21M","-2.16%"
"May 03, 2023","22.220","22.250","22.282","21.254","5.12M","-0.14%"
"May 02, 2023","22.252","21.952","22.374","21.760","3.28M","1.26%"
"May 01, 2023","21.975","22.739","22.880","21.600","5.00M","-3.36%"
"Apr 30, 2023","22.739","23.186","23.902","22.739","4.05M","-1.93%"
"Apr 29, 2023","23.186","23.348","23.778","22.934","4.04M","-0.69%"
"Apr 28, 2023","23.348","22.332","23.471","22.184","6.06M","4.55%"
"Apr 27, 2023","22.332","21.284","22.494","21.180","5.97M","4.92%"
"Apr 26, 2023","21.284","21.920","22.937","20.476","8.43M","-2.90%"
"Apr 25, 2023","21.920","21.380","21.962","20.736","4.28M","2.53%"
"Apr 24, 2023","21.380","21.470","21.982","21.036","3.84M","-0.42%"
"Apr 23, 2023","21.470","21.795","22.237","21.012","3.47M","-1.49%"
"Apr 22, 2023","21.795","21.267","21.972","21.067","2.44M","2.48%"
"Apr 21, 2023","21.267","22.197","22.390","21.070","6.04M","-4.13%"
"Apr 20, 2023","22.183","22.683","23.134","21.605","7.76M","-2.20%"
"Apr 19, 2023","22.683","24.823","24.969","22.072","9.38M","-8.62%"
"Apr 18, 2023","24.823","24.572","25.436","24.023","5.02M","1.03%"
"Apr 17, 2023","24.569","25.365","25.960","24.358","8.00M","-3.12%"
"Apr 16, 2023","25.360","24.050","25.457","23.845","4.59M","5.46%"
"Apr 15, 2023","24.047","24.723","24.778","23.825","3.80M","-2.73%"
"Apr 14, 2023","24.723","24.437","25.463","23.765","9.00M","1.17%"
"Apr 13, 2023","24.437","23.790","25.243","23.655","7.93M","2.73%"
"Apr 12, 2023","23.788","22.982","24.400","22.336","13.85M","3.50%"
"Apr 11, 2023","22.982","20.897","23.675","20.827","11.98M","9.94%"
